id,start,end,emotion,valence,arousal,dominance,transcription
Ses01M_impro02_F000,8.0737,11.47,neu,3.0,2.5,2.5,What's happening?
Ses01M_impro02_F001,24.15,26.98,xxx,2.0,3.5,3.5,When?
Ses01M_impro02_F002,29.35,32.46,sur,2.0,4.0,4.0,Are you kidding me?
Ses01M_impro02_F003,35.4,38.6,fru,2.0,3.0,3.5,How...
Ses01M_impro02_F004,40.1,42.3725,fru,2.5,3.5,3.0,How can they do that?
Ses01M_impro02_F005,42.495,45.82,fru,1.5,3.0,4.5,They said you're home for at least four years.
Ses01M_impro02_F006,53.495,54.995,fru,2.5,2.5,2.5,[BREATHING]
Ses01M_impro02_F007,58.98,62.11,fru,2.0,3.5,4.0,That's not fair.
Ses01M_impro02_F008,78.48,79.745,fru,2.0,3.0,2.5,[BREATHING]
Ses01M_impro02_F009,85.84,89.14,sad,2.5,2.5,2.5,I don't even know what to tell you.
Ses01M_impro02_F010,90.39,93.65,sad,2.5,2.5,3.0,What about the birthday party?
Ses01M_impro02_F011,116.89,122.52,xxx,2.0,3.5,2.5,Me?  I'm not worried about me.
Ses01M_impro02_F012,128.83,131.1175,xxx,2.5,2.0,2.5,How do you know?
Ses01M_impro02_F013,144.54,148.6,sad,3.0,3.5,3.5,You're going with the same ones?
Ses01M_impro02_F014,152.31,154.9183,xxx,4.0,3.0,3.0,"Always, I always do."
Ses01M_impro02_F015,157.42,160.11,sad,2.5,2.0,2.5,It's not the same though.
Ses01M_impro02_F016,167.91,170.77,xxx,4.0,3.0,3.0,We could hide away.
Ses01M_impro02_F017,172.41,177.35,sad,4.0,3.5,3.0,Mm hmm.  We'll build a bunker and never come out.
Ses01M_impro02_F018,185.54,190.36,xxx,4.5,3.5,3.0,[LAUGHTER] Mmm.
Ses01M_impro02_F019,201.7575,204.05,sad,3.0,3.0,3.0,Don't say that.
Ses01M_impro02_F020,209.95,214.81,xxx,3.5,2.5,3.0,I'll send you a letter every single day.
Ses01M_impro02_F021,216.925,219.13,xxx,4.0,2.0,3.5,I love you too.
Ses01M_impro02_M000,4.5582,7.86,neu,3.0,2.5,2.5,"Hey, Joy come in here."
Ses01M_impro02_M001,13.76,17.52,sad,2.0,2.0,3.5,I have to go back.
Ses01M_impro02_M002,19.33,23.63,sad,2.5,2.5,2.5,I just got a letter I have to go back.
Ses01M_impro02_M003,27.11,29.825,sad,2.0,2.5,3.0,First thing tomorrow morning.
Ses01M_impro02_M004,38.61,41.33,xxx,1.5,2.5,3.0,"I don't understand, I don't underst--"
Ses01M_impro02_M005,42.4225,44.35,xxx,2.5,2.0,2.0,They can do it.
Ses01M_impro02_M006,47.19,49.63,fru,1.5,2.0,2.0,"I guess they can do it,"
Ses01M_impro02_M007,49.66,58.18,sad,2.0,3.0,3.0,"The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back."
Ses01M_impro02_M008,66.16,70.18,xxx,1.5,3.5,3.5,I can't believe it. I just got back.
Ses01M_impro02_M009,75.73,78.6525,sad,2.0,2.5,3.5,"So yeah, we leave tomorrow..."
Ses01M_impro02_M010,79.18,81.86,sad,2.0,2.0,2.5,...we're all shipping out.
Ses01M_impro02_M011,82.09,86.28,sad,2.5,2.5,3.5,I just got I feel like I'm in shock actually.
Ses01M_impro02_M012,88.825,90.655,sad,3.0,1.5,1.5,I don't know.
Ses01M_impro02_M013,95.45,99.875,sad,1.5,3.0,3.5,I guess you're just going to have to have it without me.
Ses01M_impro02_M014,106.1,114.44,sad,2.0,2.0,3.5,"Hey listen, it's going to be okay though, all right?"
Ses01M_impro02_M015,115.0275,117.31,sad,2.0,2.0,2.5,You're going to be fine.
Ses01M_impro02_M016,122.03,126.42,sad,2.5,3.0,3.5,"I'm going to be fine too, okay?"
Ses01M_impro02_M017,131.06,137.74,sad,3.0,2.0,3.0,I know I have a good... I have a really good group of guys with me.
Ses01M_impro02_M018,137.75,140.94,sad,3.0,2.0,3.5,We're going to be okay.
Ses01M_impro02_M019,149.06,152.58,sad,3.0,2.0,3.0,Do promise me you're going to take a lot of pictures.
Ses01M_impro02_M020,154.43,156.51,sad,3.5,1.5,3.0,I know.
Ses01M_impro02_M021,163.8,167.56,sad,2.5,2.5,2.5,I just wish there was something I could do.
Ses01M_impro02_M022,170.94,173.01,sad,3.5,3.0,2.5,Run away?
